State,Statecode,Confirmed,Active,Recovered,Deaths,Last Updated,Latitude,Longitude
Maharashtra,MH,54758,36012,16954,1792,26/05/2020 23:14:04,19.7515,75.7139
Tamil Nadu,TN,17728,8258,9342,128,26/05/2020 19:13:04,11.1271,78.6569
Gujarat,GJ,14829,6775,7139,915,26/05/2020 22:14:04,22.2587,71.1924
Delhi,DL,14465,7223,6954,288,26/05/2020 14:42:04,28.7041,77.1025
Rajasthan,RJ,7536,3090,4276,170,27/05/2020 09:49:03,27.0238,74.2179
Madhya Pradesh,MP,7024,3030,3689,305,26/05/2020 20:34:11,22.9734,78.6569
Uttar Pradesh,UP,6724,2723,3824,177,26/05/2020 21:51:05,26.8467,80.9462
West Bengal,WB,4009,2240,1486,283,26/05/2020 19:34:05,22.9868,87.855
Andhra Pradesh,AP,2983,909,2017,57,26/05/2020 13:23:04,15.9129,79.74
State Unassigned,UN,4013,4013,0,0,27/05/2020 09:19:04,,
Bihar,BR,2968,2154,800,14,26/05/2020 22:14:05,25.0961,85.3131
Karnataka,KA,2283,1489,748,44,26/05/2020 20:45:09,15.3173,75.7139
Punjab,PB,2106,148,1918,40,26/05/2020 19:24:36,31.1471,75.3412
Telangana,TG,1991,650,1284,57,26/05/2020 20:34:16,18.1124,79.0193
Jammu and Kashmir,JK,1759,902,833,24,26/05/2020 20:34:17,33.7782,76.5762
Odisha,OR,1517,777,733,7,26/05/2020 18:53:05,20.9517,85.0985
Haryana,HR,1305,465,824,16,26/05/2020 21:04:07,29.0588,76.0856
Kerala,KL,964,416,542,6,26/05/2020 18:13:07,10.8505,76.2711
Assam,AS,683,613,63,4,27/05/2020 01:02:05,26.2006,92.9376
Jharkhand,JH,426,269,153,4,27/05/2020 00:21:05,23.6102,85.2799
Uttarakhand,UT,400,329,64,4,26/05/2020 18:18:05,30.0668,79.0193
Chhattisgarh,CT,360,281,79,0,26/05/2020 21:23:05,21.2787,81.8661
Chandigarh,CH,278,87,187,4,26/05/2020 15:33:10,30.7333,76.7794
Himachal Pradesh,HP,247,177,63,4,26/05/2020 22:03:10,31.1048,77.1734
Tripura,TR,232,67,165,0,27/05/2020 09:50:05,23.9408,91.9882
Goa,GA,67,39,28,0,26/05/2020 20:34:19,15.2993,74.124
Ladakh,LA,53,10,43,0,25/05/2020 17:51:08,34.2996,78.2932
Puducherry,PY,49,32,17,0,25/05/2020 15:27:04,11.9416,79.8083
Manipur,MN,39,35,4,0,26/05/2020 13:23:05,24.6637,93.9063
Andaman and Nicobar Islands,AN,33,0,33,0,07/05/2020 22:24:57,11.7401,92.6586
Meghalaya,ML,20,7,12,1,27/05/2020 01:12:06,25.467,91.3662
Nagaland,NL,9,9,0,0,27/05/2020 09:43:07,26.1584,94.5624
Dadra and Nagar Haveli and Daman and Diu,DN,2,1,1,0,23/05/2020 23:47:25,20.2762,73.0083
Arunachal Pradesh,AR,2,1,1,0,24/05/2020 23:43:06,28.218,94.7278
Mizoram,MZ,1,0,1,0,05/05/2020 22:32:47,23.1645,92.9376
Sikkim,SK,1,1,0,0,23/05/2020 19:42:35,27.3389,88.6065
Lakshadweep,LD,0,0,0,0,26/03/2020 07:19:29,10.076,73.6303
