District,Active,Confirmed,Deaths,Recovered
Mumbai,23896,32974,1065,8013
Thane,5052,7315,126,2137
Pune,3223,6335,282,2830
Aurangabad,514,1310,53,743
Nashik,215,992,49,728
Raigad,398,845,17,430
Palghar,470,752,18,264
Solapur,328,646,49,269
Nagpur,140,481,8,333
Jalgaon,202,447,41,204
Akola,235,437,17,185
Kolhapur,321,340,1,18
Satara,206,339,5,128
Amravati,96,193,14,83
Ratnagiri,104,171,5,62
Hingoli,41,133,0,92
Dhule,58,129,9,62
Yavatmal,24,115,0,91
Nanded,39,105,5,61
Sangli,41,87,1,45
Ahmednagar,32,84,5,47
Latur,37,82,3,42
Jalna,57,73,0,16
Other State,40,52,12,0
Buldhana,19,49,3,27
Gondia,46,47,0,1
Osmanabad,29,37,0,8
Nandurbar,10,32,2,20
Beed,31,32,0,1
Gadchiroli,26,26,0,0
Chandrapur,21,25,0,4
Parbhani,23,25,1,1
Sindhudurg,12,19,0,7
Bhandara,13,14,0,1
Washim,7,8,0,1
Wardha,6,7,1,0
Mumbai Suburban,0,0,0,0
