Confirmed,CountryReg,Deaths,LastUpdate,Latitude,Longitude,Province,Recovered,week,Recovery_Percentage,Death_Percentage,Percent_of_change_over_last_day,No_Of_Days
1,India,0,2020-01-30,0.0,0.0,0,0,5,0.0,0.0,0.0,0
1,India,0,2020-01-31,0.0,0.0,0,0,5,0.0,0.0,0.0,1
1,India,0,2020-01-31,0.0,0.0,0,0,5,0.0,0.0,0.0,2
2,India,0,2020-02-02,0.0,0.0,0,0,5,0.0,0.0,100.0,3
3,India,0,2020-02-03,0.0,0.0,0,0,6,0.0,0.0,50.0,4
3,India,0,2020-02-03,0.0,0.0,0,0,6,0.0,0.0,0.0,5
3,India,0,2020-02-03,0.0,0.0,0,0,6,0.0,0.0,0.0,6
3,India,0,2020-02-03,0.0,0.0,0,0,6,0.0,0.0,0.0,7
3,India,0,2020-02-03,0.0,0.0,0,0,6,0.0,0.0,0.0,8
3,India,0,2020-02-03,0.0,0.0,0,0,6,0.0,0.0,0.0,9
3,India,0,2020-02-03,0.0,0.0,0,0,6,0.0,0.0,0.0,10
3,India,0,2020-02-03,0.0,0.0,0,0,6,0.0,0.0,0.0,11
3,India,0,2020-02-03,0.0,0.0,0,0,6,0.0,0.0,0.0,12
3,India,0,2020-02-03,0.0,0.0,0,0,6,0.0,0.0,0.0,13
3,India,0,2020-02-13,0.0,0.0,0,0,7,0.0,0.0,0.0,14
3,India,0,2020-02-13,0.0,0.0,0,0,7,0.0,0.0,0.0,15
3,India,0,2020-02-13,0.0,0.0,0,0,7,0.0,0.0,0.0,16
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,17
3,India,0,2020-02-16,21.0,78.0,0,3,7,100.0,0.0,0.0,18
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,19
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,20
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,21
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,22
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,23
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,24
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,25
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,26
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,27
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,28
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,29
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,30
3,India,0,2020-02-16,0.0,0.0,0,3,7,100.0,0.0,0.0,31
5,India,0,2020-03-02,21.0,78.0,0,3,10,60.0,0.0,67.0,32
5,India,0,2020-03-02,21.0,78.0,0,3,10,60.0,0.0,0.0,33
28,India,0,2020-03-04,21.0,78.0,0,3,10,11.0,0.0,460.0,34
30,India,0,2020-03-05,21.0,78.0,0,3,10,10.0,0.0,7.0,35
31,India,0,2020-03-06,21.0,78.0,0,3,10,10.0,0.0,3.0,36
34,India,0,2020-03-07,21.0,78.0,0,3,10,9.0,0.0,10.0,37
39,India,0,2020-03-08,21.0,78.0,0,3,10,8.0,0.0,15.0,38
43,India,0,2020-03-09,21.0,78.0,0,3,11,7.0,0.0,10.0,39
56,India,0,2020-03-10,21.0,78.0,0,4,11,7.0,0.0,30.0,40
82,India,2,2020-03-11,20.5937,78.9629,0,4,11,5.0,2.0,46.0,41
62,India,1,2020-03-11,21.0,78.0,0,4,11,6.0,2.0,-24.0,42
73,India,1,2020-03-12,21.0,78.0,0,4,11,5.0,1.0,18.0,43
102,India,2,2020-03-14,20.5937,78.9629,0,4,11,4.0,2.0,40.0,44
113,India,2,2020-03-15,20.5937,78.9629,0,13,11,12.0,2.0,11.0,45
119,India,2,2020-03-16,20.5937,78.9629,0,13,12,11.0,2.0,5.0,46
142,India,3,2020-03-17,20.5937,78.9629,0,14,12,10.0,2.0,19.0,47
156,India,3,2020-03-18,20.5937,78.9629,0,14,12,9.0,2.0,10.0,48
194,India,4,2020-03-19,20.5937,78.9629,0,15,12,8.0,2.0,24.0,49
244,India,5,2020-03-20,20.5937,78.9629,0,20,12,8.0,2.0,26.0,50
330,India,4,2020-03-21,20.5937,78.9629,0,23,12,7.0,1.0,35.0,51
396,India,7,2020-03-22,20.5937,78.9629,0,27,12,7.0,2.0,20.0,52
499,India,10,2020-03-23,20.593684,78.96288,0,34,13,7.0,2.0,26.0,53
536,India,10,2020-03-24,20.593684,78.96288,0,40,13,7.0,2.0,7.0,54
657,India,12,2020-03-25,20.593684,78.96288,0,43,13,7.0,2.0,23.0,55
727,India,20,2020-03-26,20.593684,78.96288,0,45,13,6.0,3.0,11.0,56
887,India,20,2020-03-27,20.593684,78.96288,0,73,13,8.0,2.0,22.0,57
987,India,24,2020-03-28,20.593684,78.96288,0,84,13,9.0,2.0,11.0,58
1024,India,27,2020-03-29,20.593684,78.96288,0,95,13,9.0,3.0,4.0,59
1251,India,32,2020-03-30,20.593684,78.96288,0,102,14,8.0,3.0,22.0,60
1397,India,35,2020-03-31,20.593684,78.96288,0,123,14,9.0,3.0,12.0,61
